               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093092,            0.036271,            0.016984,             0.18438,             0.37448,             0.10195,            0.045341,            0.086642,              0.3474,            0.011635,            0.070133,           0.0033185,           0.0033185
                   1,            0.068039,             0.02553,           0.0041043,             0.63931,             0.65391,             0.65886,             0.25118,            0.059876,            0.017321,           0.0024332,              0.0401,           0.0066189,           0.0066189
                   2,            0.053624,            0.021443,           0.0030584,             0.91667,             0.89735,             0.95675,             0.46498,            0.038137,            0.012056,          0.00089528,            0.010034,           0.0098863,           0.0098863
                   3,            0.040591,            0.017959,           0.0017938,             0.96868,             0.93648,             0.97805,             0.61045,            0.030188,            0.011287,           0.0013017,           0.0098515,           0.0098515,           0.0098515
                   4,            0.033395,             0.01537,           0.0013888,             0.97368,             0.97563,             0.99053,              0.6654,            0.025545,           0.0083299,          0.00060173,           0.0098515,           0.0098515,           0.0098515
                   5,            0.029698,            0.014316,           0.0012506,             0.96627,             0.97978,             0.99198,             0.77837,            0.020105,           0.0076645,          0.00049345,            0.009802,            0.009802,            0.009802
                   6,            0.027517,            0.013706,           0.0011202,             0.97305,             0.98068,             0.99204,             0.77707,            0.017724,           0.0069625,          0.00047005,           0.0097525,           0.0097525,           0.0097525
                   7,            0.025944,            0.012928,           0.0010936,             0.95944,             0.97421,             0.98989,             0.79771,            0.017556,           0.0071344,          0.00093464,            0.009703,            0.009703,            0.009703
                   8,            0.024191,            0.012291,           0.0010369,             0.96071,              0.9919,             0.99223,             0.77874,            0.018534,           0.0068833,          0.00043516,           0.0096535,           0.0096535,           0.0096535
                   9,            0.023341,             0.01204,          0.00098993,             0.97669,              0.9841,             0.99276,             0.79425,            0.016053,           0.0064849,          0.00044438,            0.009604,            0.009604,            0.009604
                  10,            0.022231,            0.011748,          0.00089831,             0.97723,             0.98405,             0.99351,             0.82919,            0.014409,            0.005952,          0.00043302,           0.0095545,           0.0095545,           0.0095545
                  11,            0.021406,            0.011295,          0.00084518,             0.97296,             0.98427,             0.99376,              0.8216,            0.014026,           0.0059122,           0.0005789,            0.009505,            0.009505,            0.009505
                  12,            0.020664,            0.011084,          0.00087387,             0.97934,              0.9858,             0.99381,             0.84802,            0.013538,           0.0056944,          0.00043896,           0.0094555,           0.0094555,           0.0094555
                  13,            0.020295,            0.010955,          0.00082455,              0.9793,             0.98691,             0.99362,             0.84347,            0.014101,           0.0054678,          0.00036032,            0.009406,            0.009406,            0.009406
                  14,            0.019451,            0.010541,           0.0008308,             0.97663,             0.98778,              0.9935,             0.85734,            0.012752,           0.0055743,          0.00037465,           0.0093565,           0.0093565,           0.0093565
                  15,             0.01949,            0.010667,          0.00077563,             0.97647,               0.982,              0.9901,              0.8207,            0.015818,            0.010855,          0.00031247,            0.009307,            0.009307,            0.009307
                  16,            0.018936,            0.010418,          0.00075561,             0.98369,             0.98761,             0.99392,               0.837,            0.013124,           0.0052894,          0.00029849,           0.0092575,           0.0092575,           0.0092575
                  17,            0.018627,            0.010413,          0.00075311,             0.97947,              0.9867,             0.99411,             0.85151,            0.012736,           0.0052029,          0.00036792,            0.009208,            0.009208,            0.009208
                  18,            0.018327,            0.010174,          0.00074005,             0.98466,             0.98808,             0.99398,             0.85715,            0.012203,           0.0050713,          0.00029026,           0.0091585,           0.0091585,           0.0091585
                  19,              0.0178,            0.009925,          0.00076643,             0.98317,             0.98675,             0.99336,             0.85715,             0.01201,           0.0050794,           0.0002865,            0.009109,            0.009109,            0.009109
                  20,            0.017869,            0.010032,          0.00077991,             0.98178,             0.98114,             0.99278,             0.84836,            0.012372,           0.0051454,          0.00043654,           0.0090595,           0.0090595,           0.0090595
                  21,            0.017325,           0.0098133,          0.00070081,              0.9806,             0.99017,              0.9922,             0.86114,            0.012204,           0.0049536,          0.00032369,             0.00901,             0.00901,             0.00901
                  22,            0.017102,           0.0097076,          0.00070842,             0.98529,             0.99108,             0.99333,             0.86073,            0.012251,           0.0049613,           0.0002647,           0.0089605,           0.0089605,           0.0089605
                  23,            0.016636,           0.0096089,          0.00071057,             0.97752,             0.99588,             0.99414,             0.86964,            0.011793,            0.004826,          0.00025125,            0.008911,            0.008911,            0.008911
