               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094135,            0.039138,             0.01932,             0.59873,              0.2859,             0.10301,            0.027105,            0.084725,            0.033504,            0.012939,            0.070131,           0.0033188,           0.0033188
                   1,            0.075686,            0.030667,            0.010533,            0.055612,            0.033934,           0.0095889,           0.0022726,            0.090228,             0.05929,            0.032828,            0.040115,           0.0066356,           0.0066356
                   2,            0.058062,            0.023606,           0.0040468,             0.41559,             0.52324,             0.41284,             0.11539,            0.060528,            0.088781,            0.014615,            0.010082,            0.009936,            0.009936
                   3,             0.04404,            0.019757,           0.0023136,             0.92539,             0.84486,             0.94291,              0.5597,            0.033673,            0.015073,           0.0027691,           0.0099258,           0.0099258,           0.0099258
                   4,            0.037002,            0.017469,           0.0017963,             0.74233,             0.81949,             0.75192,             0.49201,             0.03163,            0.027165,           0.0032227,           0.0099258,           0.0099258,           0.0099258
                   5,            0.032969,            0.016197,           0.0016045,              0.9682,             0.98265,             0.98613,             0.69076,            0.022375,           0.0091938,          0.00087825,            0.009901,            0.009901,            0.009901
                   6,            0.030159,            0.015242,           0.0014421,             0.97237,             0.97559,             0.99108,             0.70864,            0.022273,           0.0081431,          0.00059067,           0.0098763,           0.0098763,           0.0098763
                   7,            0.028314,             0.01461,           0.0013587,             0.97546,               0.983,             0.99197,             0.80007,             0.01719,           0.0073364,            0.000566,           0.0098515,           0.0098515,           0.0098515
                   8,            0.026538,            0.013951,           0.0012436,             0.93342,             0.86156,             0.94686,             0.74735,            0.021966,            0.014269,           0.0045296,           0.0098268,           0.0098268,           0.0098268
                   9,            0.025691,            0.013708,            0.001192,             0.97569,             0.97956,             0.99181,             0.81279,            0.015735,           0.0069207,          0.00059527,            0.009802,            0.009802,            0.009802
                  10,            0.024831,            0.013281,           0.0010997,             0.97955,             0.98427,             0.99332,             0.74884,            0.018617,           0.0086591,          0.00039219,           0.0097773,           0.0097773,           0.0097773
                  11,            0.023736,            0.012792,           0.0010562,              0.9781,               0.983,             0.99296,              0.8227,            0.014815,           0.0063657,          0.00039633,           0.0097525,           0.0097525,           0.0097525
                  12,            0.022948,            0.012726,           0.0010298,             0.97826,             0.98677,              0.9941,             0.79571,            0.016422,           0.0062212,           0.0003611,           0.0097278,           0.0097278,           0.0097278
                  13,             0.02233,            0.012306,            0.001036,             0.97483,             0.98479,             0.99038,             0.84455,            0.014002,           0.0063924,          0.00039665,            0.009703,            0.009703,            0.009703
                  14,             0.02173,            0.012144,           0.0010061,             0.97343,             0.98301,              0.9924,             0.80995,            0.015811,           0.0064138,          0.00087454,           0.0096783,           0.0096783,           0.0096783
                  15,            0.021549,             0.01201,            0.000957,             0.97935,             0.98321,             0.99342,             0.83699,            0.014088,           0.0058688,          0.00036089,           0.0096535,           0.0096535,           0.0096535
                  16,            0.020974,            0.011848,          0.00093751,             0.97573,             0.99058,             0.99345,             0.84012,            0.013867,           0.0059168,          0.00039384,           0.0096288,           0.0096288,           0.0096288
                  17,            0.020762,            0.011637,           0.0009182,             0.98053,             0.98369,             0.99377,             0.84585,            0.013833,           0.0057743,          0.00042947,            0.009604,            0.009604,            0.009604
                  18,            0.020378,            0.011599,          0.00093412,             0.97511,             0.98722,             0.99379,             0.85427,            0.012695,           0.0055298,          0.00037424,           0.0095793,           0.0095793,           0.0095793
                  19,            0.019892,             0.01147,          0.00090901,             0.98116,             0.98734,             0.99398,             0.82974,            0.013519,           0.0054996,          0.00037661,           0.0095545,           0.0095545,           0.0095545
