               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025214,           0.0029081,           0.0007339,             0.98559,             0.99451,             0.99415,             0.92801,            0.008103,          0.00066064,          9.7675e-06,            0.067144,          0.00033188,          0.00033188
                   1,            0.025266,           0.0028959,          0.00079087,             0.98525,              0.9951,             0.99419,             0.92839,           0.0080304,          0.00066028,          9.7819e-06,            0.034136,          0.00065723,          0.00065723
                   2,            0.024867,           0.0028887,          0.00074636,              0.9859,             0.99456,             0.99419,             0.92935,           0.0080106,          0.00065603,          9.7783e-06,           0.0011201,          0.00097458,          0.00097458
                   3,            0.025756,           0.0029763,          0.00082445,             0.98541,             0.99478,             0.99417,             0.92938,           0.0080142,          0.00066125,          9.7434e-06,            0.000964,            0.000964,            0.000964
                   4,            0.025746,           0.0029661,          0.00083191,             0.98767,             0.99254,             0.99413,             0.93016,           0.0080092,          0.00065656,          9.9726e-06,            0.000964,            0.000964,            0.000964
                   5,            0.025187,           0.0029181,          0.00080108,              0.9856,             0.99489,             0.99417,             0.92895,            0.008019,           0.0006596,          9.7666e-06,            0.000952,            0.000952,            0.000952
                   6,            0.025406,           0.0029712,          0.00080148,             0.98547,             0.99472,             0.99412,             0.92851,           0.0080494,          0.00065705,          9.8457e-06,             0.00094,             0.00094,             0.00094
                   7,             0.02548,           0.0029288,          0.00083012,             0.98592,             0.99445,             0.99412,             0.92841,           0.0080643,          0.00065901,          9.9734e-06,            0.000928,            0.000928,            0.000928
                   8,            0.025253,           0.0029632,          0.00077886,             0.98596,             0.99412,             0.99416,             0.92911,           0.0080346,          0.00065785,          9.8821e-06,            0.000916,            0.000916,            0.000916
                   9,            0.025187,           0.0029093,          0.00076421,              0.9849,             0.99522,             0.99422,             0.92726,           0.0080338,          0.00066338,          9.8184e-06,            0.000904,            0.000904,            0.000904
                  10,            0.025547,           0.0030004,          0.00083738,             0.98636,             0.99415,             0.99415,             0.92837,           0.0080888,          0.00066082,           9.954e-06,            0.000892,            0.000892,            0.000892
                  11,            0.025392,           0.0029733,          0.00079265,             0.98616,             0.99418,             0.99415,             0.92952,           0.0080554,          0.00065981,          9.8334e-06,             0.00088,             0.00088,             0.00088
                  12,            0.025453,           0.0029508,           0.0008511,             0.98554,             0.99489,             0.99421,              0.9294,           0.0080224,          0.00065729,          9.9231e-06,            0.000868,            0.000868,            0.000868
                  13,            0.025897,           0.0029627,          0.00086051,             0.98524,             0.99508,             0.99421,             0.92898,           0.0080056,          0.00065687,          9.8302e-06,            0.000856,            0.000856,            0.000856
                  14,            0.024743,           0.0028575,          0.00079987,             0.98635,             0.99407,             0.99421,             0.92679,           0.0080815,          0.00066471,          9.8354e-06,            0.000844,            0.000844,            0.000844
                  15,            0.025329,           0.0028702,          0.00086082,             0.98548,             0.99489,             0.99415,             0.92906,           0.0080704,          0.00066124,          9.8894e-06,            0.000832,            0.000832,            0.000832
