               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.010477,          0.00095374,          0.00048032,             0.98668,             0.99366,              0.9942,             0.91794,           0.0052419,          0.00028146,           2.228e-06,            0.067071,          0.00033261,          0.00033261
                   1,            0.010624,          0.00098387,          0.00050941,             0.98598,             0.99447,             0.99412,             0.91988,           0.0050806,          0.00028089,          2.2051e-06,            0.034058,          0.00065276,          0.00065276
                   2,            0.010389,          0.00097116,          0.00046762,             0.98622,             0.99443,             0.99434,             0.92055,           0.0051293,          0.00027702,           2.277e-06,           0.0010319,          0.00095971,          0.00095971
                   3,            0.010566,          0.00099705,          0.00050295,             0.98664,             0.99354,              0.9942,             0.92125,           0.0050816,          0.00027624,          2.3208e-06,           0.0009406,           0.0009406,           0.0009406
                   4,            0.010541,          0.00097754,          0.00047351,             0.98605,             0.99453,             0.99424,             0.92213,           0.0050688,          0.00027838,          2.1912e-06,           0.0009406,           0.0009406,           0.0009406
                   5,            0.010585,          0.00098164,          0.00046472,             0.98619,             0.99462,             0.99419,             0.92085,           0.0051498,          0.00027912,          2.2275e-06,           0.0009208,           0.0009208,           0.0009208
                   6,            0.010658,          0.00098328,          0.00048172,             0.98662,             0.99382,             0.99409,             0.91958,           0.0051086,          0.00027902,          2.2207e-06,            0.000901,            0.000901,            0.000901
                   7,            0.010607,          0.00096523,          0.00048718,             0.98763,             0.99254,             0.99435,             0.92064,           0.0051294,          0.00027765,          2.3017e-06,           0.0008812,           0.0008812,           0.0008812
                   8,            0.010526,           0.0010043,          0.00048231,             0.98678,             0.99382,             0.99409,             0.92032,           0.0050715,          0.00027774,          2.1692e-06,           0.0008614,           0.0008614,           0.0008614
                   9,            0.010664,          0.00097952,          0.00050858,             0.98683,             0.99354,             0.99407,             0.92017,           0.0050696,          0.00028075,          2.2303e-06,           0.0008416,           0.0008416,           0.0008416
